Wall time,Step,Value
1513990319.6417212,0,12.0
1513990419.5034542,100,5.333333492279053
1513990470.6402347,200,13.333333969116211
1513990517.8171465,300,16.666667938232422
1513990588.2835183,400,12.666666030883789
1513990637.8128266,500,10.666666984558105
1513990684.0509334,600,10.0
1513990736.3645885,700,10.0
1513990783.5408928,800,12.666666030883789
1513990829.6049309,900,6.6666669845581055
1513991189.04364,0,6.0
1513991302.7547092,100,11.333333969116211
1513991347.2629569,200,12.666666030883789
1513991390.9632573,300,9.333333015441895
1513991435.1468124,400,8.0
1513991482.5847256,500,11.333333969116211
1513991530.8249524,600,9.333333015441895
1513991577.6718407,700,6.6666669845581055
1513991625.6567092,800,10.666666984558105
1513991672.2355483,900,14.666666030883789
1513991718.9024975,1000,8.0
1513991765.5696898,1100,10.0
1513991812.3588028,1200,11.333333969116211
1513991858.5835474,1300,11.333333969116211
1513991905.075782,1400,8.0
1513991951.5789545,1500,8.0
1513991997.9260128,1600,5.333333492279053
1513992044.0724592,1700,12.0
1513992090.4663234,1800,16.0
1513992137.1669002,1900,12.0
1513992183.4907556,2000,10.666666984558105
1513992229.9423642,2100,12.0
1513992276.2482386,2200,10.0
1513992322.5474753,2300,9.333333015441895
1513992368.993659,2400,13.333333969116211
1513992415.531753,2500,7.3333330154418945
1513992461.7639854,2600,8.0
1513992508.0397573,2700,10.666666984558105
1513992554.3901563,2800,5.333333492279053
1513992600.814079,2900,3.3333334922790527
1513992646.6569953,3000,12.666666030883789
1513992693.1711433,3100,13.333333969116211
1513992739.6668937,3200,14.0
1513992785.812214,3300,10.0
1513995097.4999733,0,12.666666030883789
1513995522.9149075,0,10.0
1513995628.6279316,100,17.33333396911621
1513995676.896032,200,18.66666603088379
1513995724.53298,300,23.33333396911621
1513995771.8228662,400,21.33333396911621
1513995818.6420293,500,12.666666030883789
1513995865.289894,600,14.0
1513995911.787382,700,18.0
1513995957.9343917,800,19.333332061767578
1513996004.1508224,900,11.333333969116211
1513996050.0669954,1000,16.0
1513996095.8676102,1100,11.333333969116211
1513996141.976074,1200,17.33333396911621
1513996187.5612326,1300,14.666666030883789
1513996233.3063602,1400,14.0
1513996278.9335184,1500,16.666667938232422
1513996324.5638103,1600,16.0
1513996370.062135,1700,16.666667938232422
1513996415.3961086,1800,16.666667938232422
1513996460.7670367,1900,14.666666030883789
1513996506.0188463,2000,17.33333396911621
1513996551.163586,2100,19.333332061767578
1513996596.8364205,2200,24.0
1513996642.33395,2300,19.333332061767578
1513996687.75088,2400,16.0
1513996733.1697164,2500,22.0
1513996778.6079822,2600,20.0
1513996823.9006724,2700,22.666667938232422
1513996869.2731717,2800,15.333333969116211
1513996916.9555936,2900,16.666667938232422
1513996962.2120733,3000,27.33333396911621
1513997007.136046,3100,18.66666603088379
1513997052.1591048,3200,20.66666603088379
1513997097.5025792,3300,26.0
1513997142.5407498,3400,21.33333396911621
1513997187.6411982,3500,24.0
1513997232.8775756,3600,26.0
1513997277.649771,3700,24.666667938232422
1513997322.5234354,3800,26.666667938232422
1513997367.4908388,3900,29.333332061767578
1513997412.4493508,4000,35.33333206176758
1513997457.1452827,4100,30.666667938232422
1513997502.0582647,4200,24.0
1513997546.8878248,4300,27.33333396911621
1513997591.8349597,4400,27.33333396911621
1513997636.5122895,4500,28.66666603088379
1513997681.3510356,4600,24.666667938232422
1513997726.3240702,4700,30.666667938232422
1513997771.5240223,4800,25.333332061767578
1513997817.3974168,4900,28.0
1513997862.248399,5000,22.0
1513997907.0688643,5100,24.666667938232422
1513997951.9645948,5200,35.33333206176758
1513997996.9599147,5300,28.66666603088379
1513998041.8410642,5400,32.666664123535156
1513998086.561273,5500,36.0
1513998131.6685126,5600,30.000001907348633
1513998176.4321132,5700,36.0
1513998221.406552,5800,27.33333396911621
1513998266.4241977,5900,37.33333206176758
1513998311.2841523,6000,34.66666793823242
1513998356.3252804,6100,37.33333206176758
1513998401.3026838,6200,29.333332061767578
1513998446.370772,6300,32.0
1513998491.0381935,6400,33.333335876464844
1513998535.9979494,6500,27.33333396911621
1513998580.9132655,6600,40.66666793823242
1513998625.6849394,6700,34.66666793823242
1513998670.600963,6800,31.33333396911621
